study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH,neural__pct_TLS,neuromesodermal.progenitors__pct_TLS,pluripotent__pct_TLS,somitic__pct_TLS,unknown__pct_TLS,neural__pct_neural_bias,neuromesodermal.progenitors__pct_neural_bias,pluripotent__pct_neural_bias,somitic__pct_neural_bias,unknown__pct_neural_bias,neural__detection_freq,neuromesodermal.progenitors__detection_freq,pluripotent__detection_freq,somitic__detection_freq,unknown__detection_freq
GSE250136,mast,celltype_single_cell,1110004F10Rik,0.48030760479404755,0.06157701281004613,0.22980839731109626,0.1385051983114325,-0.07533560500975423,0.008737190669360092,0.6030517340135626,0.7290809451283551,0.7500219772288532,0.896014501760734,0.015237455462015687,0.9832753433879675,0.9964021960522161,0.9883062072638981,0.9967258111793633,0.974912328028055,0.9759587864911277,0.966789667896679,0.9564761405348715,0.7769784172661871,0.9745493107104984,0.96875,0.9672897196261683,0.9596662030598053,0.8074866310160428,0.9747292418772563,0.9738882088943288,0.9670103092783505,0.9573495811119573,0.7944785276073619
GSE250136,mast,celltype_single_cell,1110038B12Rik,0.31019822965502675,0.06259676313834017,0.4575368212059727,0.04256744214566899,-0.10945547318752613,0.0015187683765402066,0.8621429943849125,0.09058672562377566,0.6369653274033671,0.7402925124711615,0.008240416740643706,0.9901382823531624,0.6727049015887341,0.9879344995215968,0.995500824812625,0.9050445103857567,0.8820835718374356,0.8892988929889298,0.8945988463555322,0.6187050359712231,0.9117179215270413,0.8821022727272727,0.9065420560747663,0.8873435326842837,0.6631016042780749,0.908410215269421,0.8820889432884537,0.8969072164948454,0.8926123381568926,0.6441717791411042
GSE250136,mast,celltype_single_cell,1810058I24Rik,0.21123718417452597,0.06416983789124231,0.0977045067942468,0.14238803504398057,-0.06734691277318383,0.029336820094055506,0.5932547544889369,0.74724094101110206,0.39546526665571974,0.9663532637215061,0.03673554891543021,0.9832753433879675,0.9964021960522161,0.9837481328310289,0.9967258111793633,0.8815753978958727,0.8734974241556954,0.8560885608856088,0.8484530676455165,0.5107913669064749,0.8804347826086957,0.8636363636363636,0.8738317757009346,0.8581363004172462,0.5240641711229946,0.8810001337077149,0.8706650346797226,0.8639175257731959,0.8511043412033511,0.5184049079754601
GSE250136,mast,celltype_single_cell,2410006H16Rik,0.5364380607926478,0.2898359184220327,2.3012139819265967,0.6546936298454744,-0.20275350166676542,0.03861251829031351,0.06266820896105546,3.588391980354597e-8,0.024686823411210423,0.9211494070868285,0.04592631005560966,0.9568423640428352,3.064486751222826e-5,0.9837481328310289,0.9967258111793633,0.9552198543296466,0.9147109330280481,0.977859778597786,0.9716832721552177,0.6834532374100719,0.9562566277836692,0.9431818181818182,0.9813084112149533,0.980528511821975,0.7005347593582888,0.9557427463564647,0.9228886168910648,0.979381443298969,0.9741051028179741,0.6932515337423313
GSE250136,mast,celltype_single_cell,2810004N23Rik,0.19732542715711165,0.14457905031420593,0.053080650352767655,0.14309942823241295,0.3576546407488106,0.026551771202766066,0.4365833587264593,0.8477538300509605,0.4589822861600992,0.20862558182837487,0.03404686577651985,0.9568423640428352,0.9989153187003222,0.9837481328310289,0.995500824812625,0.8956029134070677,0.8740698340011448,0.940959409594096,0.8300996329313057,0.5107913669064749,0.8870625662778366,0.8835227272727273,0.9485981308411215,0.8400556328233658,0.6042780748663101,0.8912956277577216,0.8767849857201142,0.9443298969072165,0.8328255902513328,0.5644171779141104
GSE250136,mast,celltype_single_cell,Abcf1,0.33140644806480113,0.04188777759997864,-0.11486897315074973,0.10866616703137133,-0.33442423605516636,8.81589327799714e-4,0.3320330368179641,0.8609279097553265,0.5940453886955072,0.5316052258521464,0.007156386446969428,0.9568423640428352,0.9989153187003222,0.9879344995215968,0.995500824812625,0.8910169948745617,0.8723526044647968,0.9372693726937269,0.8736234923964342,0.5827338129496403,0.8915694591728526,0.8508522727272727,0.9299065420560748,0.8734353268428373,0.5882352941176471,0.8912956277577216,0.8661770705834353,0.934020618556701,0.8735719725818736,0.5858895705521472
GSE250136,mast,celltype_single_cell,Acin1,0.3494862789208102,0.06663904803534448,0.21938015801717548,0.19717777898965405,-0.10361193739262697,0.008254984763666677,0.6748627494478587,0.5783499190155112,0.1647309292129579,0.25502387254473136,0.014804052370730576,0.9832753433879675,0.9500980645074812,0.9837481328310289,0.995500824812625,0.9209603452926896,0.9250143102461362,0.955719557195572,0.908232826428946,0.6187050359712231,0.9220572640509014,0.9161931818181818,0.9672897196261683,0.9290681502086231,0.5614973262032086,0.9215135713330659,0.9224806201550387,0.9608247422680413,0.913937547600914,0.5858895705521472
GSE250136,mast,celltype_single_cell,Acp1,0.3829006612853494,0.13577386254618817,-0.10306814404398867,0.07187619574746273,0.19467767765878552,0.0021491637640632458,0.5363596465270382,0.7070505248951264,0.86876557580441,0.6978790487818176,0.008912141277491582,0.9787417481497662,0.9882506518174107,0.9986810248541517,0.995500824812625,0.9328297814944699,0.9238694905552376,0.933579335793358,0.9160985841636078,0.6402877697841727,0.922322375397667,0.9303977272727273,0.9065420560747663,0.9207232267037552,0.6898395721925134,0.9275304185051477,0.9257445940432476,0.9216494845360824,0.9173648134044173,0.6687116564417178
GSE250136,mast,celltype_single_cell,Actb,NA,-37.660563373940626,NA,-37.660563373940626,NA,0.014668088739231424,0.7026221176039246,0.6766592888386933,0.9424416964385949,0.22531113903768424,0.021560323207063057,0.9832753433879675,0.9785166997544211,0.9986810248541517,0.995500824812625,1,1,1,1,0.9928057553956835,1,1,1,1,1,1,1,1,1,0.9969325153374233
GSE250136,mast,celltype_single_cell,Actg1,2.473493546314952,-0.30384468651037366,-17.966416325086346,0.5797600404906191,-0.819632453564278,0.005010235322235701,0.11732722019028716,0.02628352638574465,0.24131391490174395,0.6936568461759556,0.011903649924449772,0.9568423640428352,0.4580843170086924,0.9837481328310289,0.995500824812625,0.9973024008632317,0.996565540927304,1,0.9979024646040902,0.9496402877697842,0.9986744432661718,1,0.9953271028037384,1,0.9679144385026738,0.9979943842759728,0.9975520195838433,0.9979381443298969,0.9984767707539984,0.9601226993865031
