study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,celltype,n_selected_genes,padj_celltype_BH,pct_TLS,pct_neural_bias,detection_freq,padj_global_BH
GSE250136,mast,celltype_single_cell,0610009B22Rik,H,Morphotypeneural_bias,0.982125192777939,NA,NA,NA,NA,0.002065629335866681,0.002065629335866681,neural,9926,0.9949179805425017,0.2071756137038036,0.21898197242841994,0.2131300976066319,1
GSE250136,mast,celltype_single_cell,0610010F05Rik,H,Morphotypeneural_bias,0.1842042555858206,NA,NA,NA,NA,0.02054294288069969,0.02054294288069969,neural,9926,0.5590023776195534,0.205017534394389,0.2295864262990456,0.21740874448455677,0.7608356460391109
GSE250136,mast,celltype_single_cell,0610010K14Rik,H,Morphotypeneural_bias,0.10537278270017758,NA,NA,NA,NA,-0.01756886086386089,-0.01756886086386089,neural,9926,0.43799423830902956,0.7618019962233612,0.7484093319194062,0.755047466238802,0.6725149531786094
GSE250136,mast,celltype_single_cell,0610012G03Rik,H,Morphotypeneural_bias,0.6800318038488791,NA,NA,NA,NA,-0.026151386581382052,-0.026151386581382052,neural,9926,0.8933432264942457,0.7097383328837334,0.7089077412513256,0.7093194277309801,0.941816034363937
GSE250136,mast,celltype_single_cell,0610030E20Rik,H,Morphotypeneural_bias,0.33272430975052886,NA,NA,NA,NA,0.01820475880269043,0.01820475880269043,neural,9926,0.699847501558339,0.21904504990558404,0.2436373276776246,0.2314480545527477,0.8372937048537428
GSE250136,mast,celltype_single_cell,0610040B10Rik,H,Morphotypeneural_bias,0.39486032158245826,NA,NA,NA,NA,0.01286360381009774,0.01286360381009774,neural,9926,0.7480757346629034,0.1464796331265174,0.16410392364793214,0.15536836475464635,0.8587065276660071
GSE250136,mast,celltype_single_cell,1110002L01Rik,H,Morphotypeneural_bias,0.7885762847087586,NA,NA,NA,NA,-3.235273517302739e-4,-3.235273517302739e-4,neural,9926,0.9352126740360243,0.08119773401672511,0.0861611876988335,0.083701029549405,0.9649890062788418
GSE250136,mast,celltype_single_cell,1110004F10Rik,H,Morphotypeneural_bias,0.05611972086871511,NA,NA,NA,NA,0.1402491690819616,0.1402491690819616,neural,9926,0.3261051633587365,0.974912328028055,0.9745493107104984,0.9747292418772563,0.5686556035758903
GSE250136,mast,celltype_single_cell,1110008P14Rik,H,Morphotypeneural_bias,0.011200955390472745,NA,NA,NA,NA,0.02752934382766778,0.02752934382766778,neural,9926,0.1352563056032025,0.1718370650121392,0.19697773064687168,0.18451664661050943,0.31463240946674675
GSE250136,mast,celltype_single_cell,1110012L19Rik,H,Morphotypeneural_bias,0.125214864381773,NA,NA,NA,NA,0.006799714518734484,0.006799714518734484,neural,9926,0.4769414941616519,0.18181818181818182,0.19034994697773064,0.18612113918973125,0.7028766806443543
GSE250136,mast,celltype_single_cell,1110032A03Rik,H,Morphotypeneural_bias,0.4747042715077705,NA,NA,NA,NA,-0.0088098421711659,-0.0088098421711659,neural,9926,0.7890037602422455,0.15780954950094417,0.16092258748674443,0.1593795962027009,0.8859209069000318
GSE250136,mast,celltype_single_cell,1110038B12Rik,H,Morphotypeneural_bias,0.0026255074874933734,NA,NA,NA,NA,0.15897242141574353,0.15897242141574353,neural,9926,0.05200400825255368,0.9050445103857567,0.9117179215270413,0.908410215269421,0.1487632150980917
GSE250136,mast,celltype_single_cell,1110038F14Rik,H,Morphotypeneural_bias,0.3137312554872838,NA,NA,NA,NA,-0.039449979835110005,-0.039449979835110005,neural,9926,0.686226628904094,0.6115457243053682,0.6113467656415694,0.611445380398449,0.8298866565638829
GSE250136,mast,celltype_single_cell,1110051M20Rik,H,Morphotypeneural_bias,0.3068628831498186,NA,NA,NA,NA,-0.010275281078172827,-0.010275281078172827,neural,9926,0.6805006653586013,0.2158079309414621,0.21474019088016968,0.21526942104559432,0.826603805836442
GSE250136,mast,celltype_single_cell,1110059E24Rik,H,Morphotypeneural_bias,0.05537149846584588,NA,NA,NA,NA,-0.020477308404286854,-0.020477308404286854,neural,9926,0.3248485094787387,0.4736984084165093,0.4628844114528102,0.4682444177029015,0.5661104030671521
GSE250136,mast,celltype_single_cell,1110059G10Rik,H,Morphotypeneural_bias,0.7130136232149813,NA,NA,NA,NA,0.003819263430737241,0.003819263430737241,neural,9926,0.9058457985449768,0.28162934987860805,0.29957582184517495,0.29068057226901994,0.9493140482286001
GSE250136,mast,celltype_single_cell,1110065P20Rik,H,Morphotypeneural_bias,0.28111222258669877,NA,NA,NA,NA,-0.027555383174242665,-0.027555383174242665,neural,9926,0.6610226925979643,0.4210952252495279,0.41542948038176036,0.4182377323171547,0.8158387859436987
GSE250136,mast,celltype_single_cell,1190005I06Rik,H,Morphotypeneural_bias,0.0759090094334572,NA,NA,NA,NA,0.0022034064998980862,0.0022034064998980862,neural,9926,0.37953584945805263,0.052603183166981385,0.059650053022269355,0.05615724027276374,0.6223630235563192
GSE250136,mast,celltype_single_cell,1190007I07Rik,H,Morphotypeneural_bias,0.23812882542291733,NA,NA,NA,NA,0.02140457834963083,0.02140457834963083,neural,9926,0.6177905700856972,0.2751551119503642,0.29453870625662776,0.2849311405268084,0.7885666549973027
GSE250136,mast,celltype_single_cell,1300002E11Rik,H,Morphotypeneural_bias,0.9989784256088426,NA,NA,NA,NA,8.392520609476484e-5,8.392520609476484e-5,neural,9926,0.9992804446833994,0.1826274615592123,0.19167550371155886,0.18719080090921247,1
GSE250136,mast,celltype_single_cell,1500004A13Rik,H,Morphotypeneural_bias,0.3361314196091141,NA,NA,NA,NA,-0.007900230471231867,-0.007900230471231867,neural,9926,0.7013749150809473,0.05718910169948745,0.05408271474019088,0.055622409413023134,0.8384350884210977
GSE250136,mast,celltype_single_cell,1500009L16Rik,H,Morphotypeneural_bias,0.1521041608861473,NA,NA,NA,NA,0.02602885417533901,0.02602885417533901,neural,9926,0.5191404532179852,0.258160237388724,0.28340402969247086,0.2708918304586175,0.7309896728122401
GSE250136,mast,celltype_single_cell,1500011B03Rik,H,Morphotypeneural_bias,0.01923395494964265,NA,NA,NA,NA,0.0592759862999952,0.0592759862999952,neural,9926,0.18809481461098812,0.5562449420016186,0.574761399787911,0.5655836341756919,0.4000680267265194
GSE250136,mast,celltype_single_cell,1500015A07Rik,H,Morphotypeneural_bias,0.615411994225036,NA,NA,NA,NA,-0.006926916860350962,-0.006926916860350962,neural,9926,0.8627937082878118,0.275424871864041,0.27863202545068927,0.27704238534563447,0.9259449145308202
GSE250136,mast,celltype_single_cell,1600002K03Rik,H,Morphotypeneural_bias,0.7783224793881515,NA,NA,NA,NA,0.0032732904093231985,0.0032732904093231985,neural,9926,0.9307492885359119,0.06447261936876181,0.07051961823966066,0.06752239604225163,0.96251370853332
GSE250136,mast,celltype_single_cell,1600012H06Rik,H,Morphotypeneural_bias,0.05211141312288417,NA,NA,NA,NA,0.015500681468302482,0.015500681468302482,neural,9926,0.3159000161515156,0.08254653358510926,0.10153764581124072,0.09212461559031956,0.5580917298548929
GSE250136,mast,celltype_single_cell,1600020E01Rik,H,Morphotypeneural_bias,0.32196406230302044,NA,NA,NA,NA,-0.009364779500477566,-0.009364779500477566,neural,9926,0.6918846682008619,0.1240895602913407,0.12036055143160128,0.12220885145072871,0.8332998067592152
GSE250136,mast,celltype_single_cell,1700003F12Rik,H,Morphotypeneural_bias,0.15994215927039301,NA,NA,NA,NA,0.003365243572993726,0.003365243572993726,neural,9926,0.5283171025392825,0.09117885082276773,0.10233297985153765,0.09680438561304987,0.7387712412388819
GSE250136,mast,celltype_single_cell,1700007L15Rik,H,Morphotypeneural_bias,0.6516550238903522,NA,NA,NA,NA,-0.005101648645999199,-0.005101648645999199,neural,9926,0.879071689682757,0.08524413272187753,0.0861611876988335,0.08570664527343227,0.9356355171864152
GSE250136,mast,celltype_single_cell,1700008J07Rik,H,Morphotypeneural_bias,0.47479452976706377,NA,NA,NA,NA,0.008376979688079461,0.008376979688079461,neural,9926,0.7890037602422455,0.08416509306717022,0.09703075291622482,0.09065383072603289,0.8859209069000318
GSE250136,mast,celltype_single_cell,1700017B05Rik,H,Morphotypeneural_bias,0.44979474637199857,NA,NA,NA,NA,-0.013503962929154067,-0.013503962929154067,neural,9926,0.7750528738478862,0.1874831400053952,0.18875927889713678,0.18812675491375852,0.8768797288000575
GSE250136,mast,celltype_single_cell,1700021F05Rik,H,Morphotypeneural_bias,0.5028201802811753,NA,NA,NA,NA,-2.626330536735222e-4,-2.626330536735222e-4,neural,9926,0.8038423984127492,0.27677367143242515,0.29427359490986216,0.28559967910148415,0.8941527789290984
GSE250136,mast,celltype_single_cell,1700025G04Rik,H,Morphotypeneural_bias,0.2629738671343318,NA,NA,NA,NA,0.031047060583025532,0.031047060583025532,neural,9926,0.6470695600335591,0.41704882654437553,0.4411452810180276,0.42920176494183715,0.8057152919257639
GSE250136,mast,celltype_single_cell,1700030K09Rik,H,Morphotypeneural_bias,0.8600212624800422,NA,NA,NA,NA,-0.0024795742353934808,-0.0024795742353934808,neural,9926,0.9598123511779737,0.06797949824656056,0.06998939554612937,0.0689931809065383,0.9803062741367566
GSE250136,mast,celltype_single_cell,1700037C18Rik,H,Morphotypeneural_bias,0.31016754077935743,NA,NA,NA,NA,0.002730703737679731,0.002730703737679731,neural,9926,0.6832496692800493,0.03398974912328028,0.039766702014846236,0.036903329322101885,0.8284845781573569
GSE250136,mast,celltype_single_cell,1700037H04Rik,H,Morphotypeneural_bias,0.007057338790138331,NA,NA,NA,NA,0.0738178385445134,0.0738178385445134,neural,9926,0.10027717784437437,0.5133531157270029,0.5540827147401909,0.533894905736061,0.25184817704980056
GSE250136,mast,celltype_single_cell,1700052K11Rik,H,Morphotypeneural_bias,0.14161903464450304,NA,NA,NA,NA,-0.00204551051017611,-0.00204551051017611,neural,9926,0.501860242014044,0.10089020771513353,0.10975609756097561,0.10536167936889959,0.7178526344858807
GSE250136,mast,celltype_single_cell,1700063J08Rik,H,Morphotypeneural_bias,0.7498840693605167,NA,NA,NA,NA,0.0030664842714939952,0.0030664842714939952,neural,9926,0.9218933134650549,0.04181278661990828,0.04798515376458112,0.04492579221821099,0.9574065647283001
GSE250136,mast,celltype_single_cell,1700086O06Rik,H,Morphotypeneural_bias,0.903821566748953,NA,NA,NA,NA,0.004340012324508702,0.004340012324508702,neural,9926,0.9731928694366918,0.1561909900188832,0.16755037115588547,0.1619200427864688,0.988079174498913
GSE250136,mast,celltype_single_cell,1700094D03Rik,H,Morphotypeneural_bias,0.25031412710562023,NA,NA,NA,NA,0.004067467254508524,0.004067467254508524,neural,9926,0.63239946716385,0.04990558403021311,0.059650053022269355,0.05482016312341222,0.7982504914879294
GSE250136,mast,celltype_single_cell,1700096K18Rik,H,Morphotypeneural_bias,0.4701879014662732,NA,NA,NA,NA,0.005877024675092116,0.005877024675092116,neural,9926,0.7861015849678672,0.08956029134070677,0.10127253446447508,0.09546730846369836,0.884106968389246
GSE250136,mast,celltype_single_cell,1700102H20Rik,H,Morphotypeneural_bias,0.4287827274620312,NA,NA,NA,NA,-0.00501558195507594,-0.00501558195507594,neural,9926,0.7646605217006326,0.04424062584299973,0.042682926829268296,0.043455007353924324,0.8708742364541946
GSE250136,mast,celltype_single_cell,1700109H08Rik,H,Morphotypeneural_bias,0.6960100406559745,NA,NA,NA,NA,-3.874550958375064e-4,-3.874550958375064e-4,neural,9926,0.8995567270248962,0.04531966549770704,0.048250265111346766,0.04679770022730312,0.945809254565685
GSE250136,mast,celltype_single_cell,1700113A16Rik,H,Morphotypeneural_bias,0.9660939468209974,NA,NA,NA,NA,0.0014955189963700155,0.0014955189963700155,neural,9926,0.9900318517597791,0.060426220663609385,0.06495227995758218,0.06270891830458618,0.9977841572041597
GSE250136,mast,celltype_single_cell,1700123M08Rik,H,Morphotypeneural_bias,0.04247755064059038,NA,NA,NA,NA,-0.007083802693382282,-0.007083802693382282,neural,9926,0.2825952866343835,0.06878877798759105,0.06283138918345706,0.06578419574809466,0.5199907778200996
GSE250136,mast,celltype_single_cell,1700123O20Rik,H,Morphotypeneural_bias,0.4583414219727887,NA,NA,NA,NA,0.0016075699908884022,0.0016075699908884022,neural,9926,0.7793407309430402,0.41947666576746695,0.42629904559915166,0.422917502339885,0.8799064503750906
GSE250136,mast,celltype_single_cell,1810009A15Rik,H,Morphotypeneural_bias,0.16834089918883233,NA,NA,NA,NA,-0.01379251299635928,-0.01379251299635928,neural,9926,0.5384259616424248,0.15753978958726733,0.15058324496288442,0.15403128760529483,0.7466230865158099
GSE250136,mast,celltype_single_cell,1810013L24Rik,H,Morphotypeneural_bias,0.7508313695009995,NA,NA,NA,NA,0.003353094251515129,0.003353094251515129,neural,9926,0.9219566702877399,0.12031292149986512,0.13361611876988336,0.12702232918839418,0.9575802413912238
GSE250136,mast,celltype_single_cell,1810024B03Rik,H,Morphotypeneural_bias,0.5776499718087138,NA,NA,NA,NA,-0.001744713821126398,-0.001744713821126398,neural,9926,0.8458111255603029,0.16266522794712707,0.165694591728526,0.16419307394036636,0.9155028131885822
GSE250136,mast,celltype_single_cell,1810026B05Rik,H,Morphotypeneural_bias,0.7930855232322276,NA,NA,NA,NA,0.008910240179819395,0.008910240179819395,neural,9926,0.9364938024747909,0.2716482330725654,0.2873806998939555,0.2795828319294023,0.9661092624886959
GSE250136,mast,celltype_single_cell,1810030O07Rik,H,Morphotypeneural_bias,0.8228625619790787,NA,NA,NA,NA,-0.0030229344487821552,-0.0030229344487821552,neural,9926,0.9473131280682365,0.1632047477744807,0.1715270413573701,0.16740205909881,0.9728965082743938
GSE250136,mast,celltype_single_cell,1810037I17Rik,H,Morphotypeneural_bias,0.10703660702458104,NA,NA,NA,NA,-0.04423253601737254,-0.04423253601737254,neural,9926,0.4413981559310309,0.6617210682492581,0.6463414634146342,0.6539644337478272,0.676377723592439
GSE250136,mast,celltype_single_cell,1810044D09Rik,H,Morphotypeneural_bias,0.796261989647117,NA,NA,NA,NA,0.008312191297517313,0.008312191297517313,neural,9926,0.9378192535988386,0.23037496628001078,0.246288441145281,0.23840085572937558,0.966623942605807
GSE250136,mast,celltype_single_cell,1810055G02Rik,H,Morphotypeneural_bias,0.9259809953453001,NA,NA,NA,NA,-0.0017930898491138048,-0.0017930898491138048,neural,9926,0.9800267608694497,0.11653628270838953,0.12407211028632026,0.12033694344163658,0.991459034998219
GSE250136,mast,celltype_single_cell,1810058I24Rik,H,Morphotypeneural_bias,0.7375554173731846,NA,NA,NA,NA,0.015960418030231516,0.015960418030231516,neural,9926,0.9160762272664207,0.8815753978958727,0.8804347826086957,0.8810001337077149,0.95445775845333
GSE250136,mast,celltype_single_cell,2010001A14Rik,H,Morphotypeneural_bias,0.30439044408531163,NA,NA,NA,NA,6.568642793092772e-4,6.568642793092772e-4,neural,9926,0.6792669847101626,0.05449150256271918,0.059650053022269355,0.0570931942773098,0.8259763426205384
GSE250136,mast,celltype_single_cell,2010204K13Rik,H,Morphotypeneural_bias,0.4789370404621724,NA,NA,NA,NA,0.021531652106165367,0.021531652106165367,neural,9926,0.7900120729366805,0.3682222821688697,0.3897136797454931,0.37906137184115524,0.887017336676895
GSE250136,mast,celltype_single_cell,2010315B03Rik,H,Morphotypeneural_bias,0.9780020357115705,NA,NA,NA,NA,6.891620862224807e-4,6.891620862224807e-4,neural,9926,0.9944323096161697,0.03884542756946318,0.042417815482502653,0.040647145340286135,0.9998624407589886
GSE250136,mast,celltype_single_cell,2010320M18Rik,H,Morphotypeneural_bias,0.90671859673367,NA,NA,NA,NA,0.006977074859374988,0.006977074859374988,neural,9926,0.9745557806867683,0.3339627731319126,0.34915164369034996,0.34162321165931275,0.9886095670753563
GSE250136,mast,celltype_single_cell,2210016F16Rik,H,Morphotypeneural_bias,0.5636093247876748,NA,NA,NA,NA,-0.002830385392132373,-0.002830385392132373,neural,9926,0.8416407639299623,0.259778796870785,0.26617179215270415,0.2630030752774435,0.9128571344777868
GSE250136,mast,celltype_single_cell,2210016L21Rik,H,Morphotypeneural_bias,0.39285540835459315,NA,NA,NA,NA,0.026061236707125346,0.026061236707125346,neural,9926,0.7480589397697893,0.4642568114378203,0.48250265111346763,0.47345901858537237,0.8584867310820634
GSE250136,mast,celltype_single_cell,2210408I21Rik,H,Morphotypeneural_bias,0.8402160653692429,NA,NA,NA,NA,-0.004132205132817007,-0.004132205132817007,neural,9926,0.9530851512990897,0.10628540598867009,0.10922587486744433,0.10776841823773231,0.9760922357356134
GSE250136,mast,celltype_single_cell,2300009A05Rik,H,Morphotypeneural_bias,0.01802420786519908,NA,NA,NA,NA,0.04863237272805887,0.04863237272805887,neural,9926,0.18035109603827224,0.3620178041543027,0.3984623541887593,0.38039844899050673,0.3869702743988435
GSE250136,mast,celltype_single_cell,2310009A05Rik,H,Morphotypeneural_bias,0.36465175963522967,NA,NA,NA,NA,-0.0023831026177471015,-0.0023831026177471015,neural,9926,0.7266196752477198,0.48260048556784463,0.4832979851537646,0.48295226634576816,0.8502935384126797
GSE250136,mast,celltype_single_cell,2310009B15Rik,H,Morphotypeneural_bias,0.042376015580616794,NA,NA,NA,NA,0.05469258200049032,0.05469258200049032,neural,9926,0.2825952866343835,0.5600215807930942,0.5957051961823966,0.578018451664661,0.5198453074133804
GSE250136,mast,celltype_single_cell,2310010J17Rik,H,Morphotypeneural_bias,0.9189708368080456,NA,NA,NA,NA,-0.001956311890945639,-0.001956311890945639,neural,9926,0.9776086719419506,0.1707580253574319,0.1752386002120891,0.17301778312608637,0.990020111001186
GSE250136,mast,celltype_single_cell,2310011J03Rik,H,Morphotypeneural_bias,0.3263533425130829,NA,NA,NA,NA,0.00940094097005889,0.00940094097005889,neural,9926,0.6941564042588223,0.3498786080388454,0.3602863202545069,0.3551276908677631,0.8347534079623994
GSE250136,mast,celltype_single_cell,2310022A10Rik,H,Morphotypeneural_bias,0.5421581167495525,NA,NA,NA,NA,-0.008027765929797578,-0.008027765929797578,neural,9926,0.8288097130534511,0.12058268141354195,0.12009544008483564,0.12033694344163658,0.90590712233624
GSE250136,mast,celltype_single_cell,2310022B05Rik,H,Morphotypeneural_bias,0.29905242830166795,NA,NA,NA,NA,-0.014491376636880993,-0.014491376636880993,neural,9926,0.6766141219765208,0.28567574858376044,0.2841993637327678,0.2849311405268084,0.824700450351797
GSE250136,mast,celltype_single_cell,2310033P09Rik,H,Morphotypeneural_bias,0.5925121872937658,NA,NA,NA,NA,0.025484802278602947,0.025484802278602947,neural,9926,0.8545881969017609,0.5594820609657405,0.5766171792152704,0.5681240807594599,0.9198359497135804
GSE250136,mast,celltype_single_cell,2310039H08Rik,H,Morphotypeneural_bias,0.5927620562827954,NA,NA,NA,NA,0.013117695785324734,0.013117695785324734,neural,9926,0.854740162240482,0.31669813865659563,0.33191940615058324,0.3243749164326782,0.9199675225203221
GSE250136,mast,celltype_single_cell,2310057M21Rik,H,Morphotypeneural_bias,0.9377265938351736,NA,NA,NA,NA,-4.1182029623942906e-4,-4.1182029623942906e-4,neural,9926,0.9824650802626064,0.15700026975991369,0.16463414634146342,0.16085038106698757,0.9926025370262186
GSE250136,mast,celltype_single_cell,2310061I04Rik,H,Morphotypeneural_bias,0.676145485575692,NA,NA,NA,NA,0.003518142606853375,0.003518142606853375,neural,9926,0.8916460860667356,0.1516050714863771,0.16224814422057265,0.15697285733386818,0.941092367962016
GSE250136,mast,celltype_single_cell,2310068J16Rik,H,Morphotypeneural_bias,0.5245844314836614,NA,NA,NA,NA,-0.007265993846216262,-0.007265993846216262,neural,9926,0.8174293668613537,0.1278661990828163,0.12725344644750794,0.12755716004813478,0.8990246686575297
GSE250136,mast,celltype_single_cell,2410002F23Rik,H,Morphotypeneural_bias,0.5883987315529969,NA,NA,NA,NA,0.0216902595488897,0.0216902595488897,neural,9926,0.8524953743095969,0.5600215807930942,0.573170731707317,0.5666532958951731,0.9185377996180903
GSE250136,mast,celltype_single_cell,2410003L11Rik,H,Morphotypeneural_bias,0.017046251891140698,NA,NA,NA,NA,-0.01921180704371893,-0.01921180704371893,neural,9926,0.1752455234866695,0.0898300512543836,0.08138918345705196,0.08557293755849713,0.3801094999489294
GSE250136,mast,celltype_single_cell,2410004B18Rik,H,Morphotypeneural_bias,0.21077082962441226,NA,NA,NA,NA,0.026877766504487477,0.026877766504487477,neural,9926,0.5898255581764635,0.32586997572160775,0.3515376458112407,0.33881534964567456,0.7783228904415789
GSE250136,mast,celltype_single_cell,2410006H16Rik,H,Morphotypeneural_bias,0.00959004699284561,NA,NA,NA,NA,0.21454361873324945,0.21454361873324945,neural,9926,0.12251069041310877,0.9552198543296466,0.9562566277836692,0.9557427463564647,0.2925705997514735
GSE250136,mast,celltype_single_cell,2410018L13Rik,H,Morphotypeneural_bias,0.1891409665798069,NA,NA,NA,NA,0.009387396047516317,0.009387396047516317,neural,9926,0.5658003797240622,0.14081467493930402,0.15164369034994699,0.14627624013905602,0.7637306524082604
GSE250136,mast,celltype_single_cell,2410022M11Rik,H,Morphotypeneural_bias,0.600013674274754,NA,NA,NA,NA,-0.008788476719274574,-0.008788476719274574,neural,9926,0.8575573406553216,0.13353115727002968,0.13308589607635207,0.1333065917903463,0.9226369948701377
GSE250136,mast,celltype_single_cell,2410131K14Rik,H,Morphotypeneural_bias,0.4423976944972954,NA,NA,NA,NA,0.008362331206576631,0.008362331206576631,neural,9926,0.7725449536999246,0.0830860534124629,0.0975609756097561,0.09038641529616259,0.8745427497101964
GSE250136,mast,celltype_single_cell,2500002B13Rik,H,Morphotypeneural_bias,0.31809957264782895,NA,NA,NA,NA,0.00419037549843343,0.00419037549843343,neural,9926,0.689006630795221,0.046938224979768003,0.05275715800636267,0.04987297767081161,0.8317855297080468
GSE250136,mast,celltype_single_cell,2500004C02Rik,H,Morphotypeneural_bias,0.7352935678486637,NA,NA,NA,NA,0.0036688469095706513,0.0036688469095706513,neural,9926,0.9150606763372412,0.060426220663609385,0.06654294803817604,0.06351116459419709,0.9541239977875903
GSE250136,mast,celltype_single_cell,2510002D24Rik,H,Morphotypeneural_bias,0.6680067562923897,NA,NA,NA,NA,0.0027858544937710006,0.0027858544937710006,neural,9926,0.8871078757733359,0.2805503102239007,0.2900318133616119,0.28533226367161385,0.9392910757353352
GSE250136,mast,celltype_single_cell,2510009E07Rik,H,Morphotypeneural_bias,0.31813756697816203,NA,NA,NA,NA,0.005468546327589405,0.005468546327589405,neural,9926,0.689006630795221,0.06528189910979229,0.07635206786850478,0.07086508891563043,0.8317855297080468
GSE250136,mast,celltype_single_cell,2510017J16Rik,H,Morphotypeneural_bias,0.2090369027088223,NA,NA,NA,NA,0.008735644950033969,0.008735644950033969,neural,9926,0.5881236667482342,0.04720798489344483,0.059915164369035,0.053616793688995856,0.7779293758314786
GSE250136,mast,celltype_single_cell,2510039O18Rik,H,Morphotypeneural_bias,0.6828573276050752,NA,NA,NA,NA,0.002010786110196394,0.002010786110196394,neural,9926,0.8941673593506568,0.12543835985972485,0.13918345705196183,0.13237063778580024,0.9424289090624034
GSE250136,mast,celltype_single_cell,2510046G10Rik,H,Morphotypeneural_bias,0.6583314268999874,NA,NA,NA,NA,0.006114515791996039,0.006114515791996039,neural,9926,0.8812033367476281,0.12678715942810898,0.14183457051961823,0.13437625350982751,0.9371021059888206
GSE250136,mast,celltype_single_cell,2600006K01Rik,H,Morphotypeneural_bias,0.008617540198588644,NA,NA,NA,NA,-0.02556821534325579,-0.02556821534325579,neural,9926,0.11398537908328782,0.13326139735635284,0.12168610816542948,0.12742345233319963,0.2765998191961628
GSE250136,mast,celltype_single_cell,2610001J05Rik,H,Morphotypeneural_bias,0.27115139662347265,NA,NA,NA,NA,0.023909248703509522,0.023909248703509522,neural,9926,0.654376066833112,0.4324251416239547,0.46155885471898195,0.44711859874314747,0.8106863327468352
GSE250136,mast,celltype_single_cell,2610002M06Rik,H,Morphotypeneural_bias,0.19568159196573548,NA,NA,NA,NA,-0.013711368505158583,-0.013711368505158583,neural,9926,0.57280629452999,0.18451578095495008,0.18769883351007424,0.18612113918973125,0.7684319532713808
GSE250136,mast,celltype_single_cell,2610008E11Rik,H,Morphotypeneural_bias,0.2017882840194016,NA,NA,NA,NA,0.01433745191199648,0.01433745191199648,neural,9926,0.5788395619660947,0.11518748314000539,0.13759278897136798,0.12648749832865355,0.772534339254515
GSE250136,mast,celltype_single_cell,2610020C07Rik,H,Morphotypeneural_bias,0.43235518962171676,NA,NA,NA,NA,0.008541042323835443,0.008541042323835443,neural,9926,0.767583189444672,0.1192338818451578,0.1306998939554613,0.1250167134643669,0.8717746755043583
GSE250136,mast,celltype_single_cell,2610021A01Rik,H,Morphotypeneural_bias,0.3862203668581072,NA,NA,NA,NA,-0.0026716195082784333,-0.0026716195082784333,neural,9926,0.7437361916583715,0.05152414351227408,0.05434782608695652,0.052948255114320095,0.8571709198157519
GSE250136,mast,celltype_single_cell,2610037D02Rik,H,Morphotypeneural_bias,0.5309219151094638,NA,NA,NA,NA,0.009157068176901512,0.009157068176901512,neural,9926,0.8209893954473498,0.17804154302670624,0.19353128313891835,0.18585372375986095,0.9017719129544167
GSE250136,mast,celltype_single_cell,2610044O15Rik8,H,Morphotypeneural_bias,0.889255482948706,NA,NA,NA,NA,0.0030078013647733687,0.0030078013647733687,neural,9926,0.9700685531074389,0.08416509306717022,0.0930540827147402,0.08864821500200562,0.9856595725168111
GSE250136,mast,celltype_single_cell,2610301B20Rik,H,Morphotypeneural_bias,0.528582926748572,NA,NA,NA,NA,0.012402873999148412,0.012402873999148412,neural,9926,0.8200553502510668,0.26328567574858375,0.2799575821845175,0.2716940767482284,0.9007610510492917
GSE250136,mast,celltype_single_cell,2610306M01Rik,H,Morphotypeneural_bias,0.5296281143379244,NA,NA,NA,NA,0.00205084609839995,0.00205084609839995,neural,9926,0.8203782351593303,0.1464796331265174,0.1537645811240721,0.1501537638721754,0.901272929300715
GSE250136,mast,celltype_single_cell,2610307P16Rik,H,Morphotypeneural_bias,0.1823328275093576,NA,NA,NA,NA,-2.5880498728991785e-4,-2.5880498728991785e-4,neural,9926,0.5556756665206888,0.12624763960075533,0.12990455991516436,0.12809199090787537,0.7587166318071921
GSE250136,mast,celltype_single_cell,2610318N02Rik,H,Morphotypeneural_bias,0.550372577209019,NA,NA,NA,NA,0.006982309587319713,0.006982309587319713,neural,9926,0.834172881566151,0.5813326139735635,0.5856309650053022,0.5835004679770023,0.9088069000504913
GSE250136,mast,celltype_single_cell,2610507B11Rik,H,Morphotypeneural_bias,0.6063747084317763,NA,NA,NA,NA,0.01583811003927127,0.01583811003927127,neural,9926,0.8599787513479301,0.3925006743997842,0.41755037115588545,0.40513437625350984,0.9242295649329644
GSE250136,mast,celltype_single_cell,2610528A11Rik,H,Morphotypeneural_bias,0.007890354978249902,NA,NA,NA,NA,-0.027620561982323863,-0.027620561982323863,neural,9926,0.10817633082059189,0.05880766118154842,0.04559915164369035,0.052146008824709184,0.2677232263188532
GSE250136,mast,celltype_single_cell,2700033N17Rik,H,Morphotypeneural_bias,0.03198526449454756,NA,NA,NA,NA,-0.03210230721428814,-0.03210230721428814,neural,9926,0.24782442283394376,0.2810898300512544,0.2651113467656416,0.27303115389757987,0.48210681062208954
GSE250136,mast,celltype_single_cell,2700038G22Rik,H,Morphotypeneural_bias,0.10511966825811893,NA,NA,NA,NA,0.022944311412140428,0.022944311412140428,neural,9926,0.4377886847132118,0.18316698138656595,0.2067868504772004,0.1950795560903864,0.6720692626678991
GSE250136,mast,celltype_single_cell,2700049A03Rik,H,Morphotypeneural_bias,0.962604907428982,NA,NA,NA,NA,0.0016170221819162556,0.0016170221819162556,neural,9926,0.9893508180169366,0.1513353115727003,0.1627783669141039,0.15710656504880333,0.9974129014566766
