study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,celltype,n_selected_genes,padj_celltype_BH,pct_TLS,pct_neural_bias,detection_freq,padj_global_BH
GSE250136,mast,celltype_single_cell,Caprin1,H,Morphotypeneural_bias,0.4239668034488545,NA,NA,NA,NA,-0.09043479223619011,-0.09043479223619011,neuromesodermal.progenitors,9728,0.9043695388480281,0.9066971951917573,0.9119318181818182,0.9082007343941249,0.8694888884288533
GSE250136,mast,celltype_single_cell,Caprin2,H,Morphotypeneural_bias,0.8334802794106873,NA,NA,NA,NA,-0.011033189312412678,-0.011033189312412678,neuromesodermal.progenitors,9728,0.9828088746082181,0.20492272467086434,0.19886363636363635,0.20318237454100369,0.9744157162489737
GSE250136,mast,celltype_single_cell,Capza1,H,Morphotypeneural_bias,0.34892568501998966,NA,NA,NA,NA,0.03019903921658862,0.03019903921658862,neuromesodermal.progenitors,9728,0.8928151418678472,0.594733829421866,0.6207386363636364,0.602203182374541,0.8440340034622924
GSE250136,mast,celltype_single_cell,Capza2,H,Morphotypeneural_bias,0.25834310259841436,NA,NA,NA,NA,0.06214091678546829,0.06214091678546829,neuromesodermal.progenitors,9728,0.8671799761272282,0.7779049799656554,0.8039772727272727,0.7853937168502652,0.8041905270456945
GSE250136,mast,celltype_single_cell,Capzb,H,Morphotypeneural_bias,0.754324701838138,NA,NA,NA,NA,-0.005502013376124548,-0.005502013376124548,neuromesodermal.progenitors,9728,0.9713011183260447,0.8311390955924441,0.8181818181818182,0.8274173806609547,0.9582454186785131
GSE250136,mast,celltype_single_cell,Car14,H,Morphotypeneural_bias,0.13551868919563304,NA,NA,NA,NA,0.05905755911206051,0.05905755911206051,neuromesodermal.progenitors,9728,0.8067906531208471,0.34516313680595306,0.3650568181818182,0.3508771929824561,0.7127844283875698
GSE250136,mast,celltype_single_cell,Car2,H,Morphotypeneural_bias,0.9664094905325641,NA,NA,NA,NA,7.310194423619243e-4,7.310194423619243e-4,neuromesodermal.progenitors,9728,0.996123354473636,0.1345163136805953,0.13352272727272727,0.13423092615259077,0.9977841572041597
GSE250136,mast,celltype_single_cell,Car3,H,Morphotypeneural_bias,0.37322229150522557,NA,NA,NA,NA,0.020119001118327484,0.020119001118327484,neuromesodermal.progenitors,9728,0.8928151418678472,0.1453921007441328,0.16619318181818182,0.15136678906568748,0.8544647953893817
GSE250136,mast,celltype_single_cell,Card19,H,Morphotypeneural_bias,0.689616141352196,NA,NA,NA,NA,0.010920296962819515,0.010920296962819515,neuromesodermal.progenitors,9728,0.9646334368858973,0.11161991986262164,0.11931818181818182,0.11383108935128519,0.9432955683539351
GSE250136,mast,celltype_single_cell,Carf,H,Morphotypeneural_bias,0.06616267453010889,NA,NA,NA,NA,-0.019791792448714075,-0.019791792448714075,neuromesodermal.progenitors,9728,0.7174630269279478,0.07498568975386377,0.061079545454545456,0.07099143206854346,0.601810561015709
GSE250136,mast,celltype_single_cell,Carhsp1,H,Morphotypeneural_bias,0.7757925812267058,NA,NA,NA,NA,-4.7625400271089635e-4,-4.7625400271089635e-4,neuromesodermal.progenitors,9728,0.9739639168627808,0.4567830566685747,0.46448863636363635,0.4589963280293758,0.9621501924923014
GSE250136,mast,celltype_single_cell,Carm1,H,Morphotypeneural_bias,0.9577714257053999,NA,NA,NA,NA,-0.012808960495305999,-0.012808960495305999,neuromesodermal.progenitors,9728,0.9950551298727094,0.497424155695478,0.4914772727272727,0.49571603427172584,0.996743920498201
GSE250136,mast,celltype_single_cell,Carmil1,H,Morphotypeneural_bias,0.06125723860137623,NA,NA,NA,NA,0.035412273519812354,0.035412273519812354,neuromesodermal.progenitors,9728,0.697533966643133,0.10589582140812821,0.13636363636363635,0.11464708282333741,0.5862397060438849
GSE250136,mast,celltype_single_cell,Carmil3,H,Morphotypeneural_bias,0.9832162693649693,NA,NA,NA,NA,-6.470456694802132e-4,-6.470456694802132e-4,neuromesodermal.progenitors,9728,0.998210288358107,0.04636519748139668,0.045454545454545456,0.046103631170950635,1
GSE250136,mast,celltype_single_cell,Carnmt1,H,Morphotypeneural_bias,0.7752361754293622,NA,NA,NA,NA,-0.03899560311173267,-0.03899560311173267,neuromesodermal.progenitors,9728,0.9739639168627808,0.6491127647395535,0.6349431818181818,0.6450428396572827,0.9620472485037035
GSE250136,mast,celltype_single_cell,Cars,H,Morphotypeneural_bias,0.08380497224512248,NA,NA,NA,NA,-0.014123466344359237,-0.014123466344359237,neuromesodermal.progenitors,9728,0.7388426093403955,0.4785346307956497,0.4431818181818182,0.46838025295797636,0.6401425711653314
GSE250136,mast,celltype_single_cell,Cars2,H,Morphotypeneural_bias,0.9435405572527249,NA,NA,NA,NA,-0.005552323789041247,-0.005552323789041247,neuromesodermal.progenitors,9728,0.9923042446087168,0.13108185460789926,0.12642045454545456,0.12974296205630356,0.9937399327821513
GSE250136,mast,celltype_single_cell,Casc1,H,Morphotypeneural_bias,0.48399911504997245,NA,NA,NA,NA,-0.011052386657536946,-0.011052386657536946,neuromesodermal.progenitors,9728,0.9260101464857211,0.053806525472238124,0.04261363636363636,0.05059159526723786,0.8887873425115185
GSE250136,mast,celltype_single_cell,Casc3,H,Morphotypeneural_bias,0.9065835948345927,NA,NA,NA,NA,0.007677693183293255,0.007677693183293255,neuromesodermal.progenitors,9728,0.9920608636290035,0.45735546651402403,0.46448863636363635,0.4594043247654019,0.9886095670753563
GSE250136,mast,celltype_single_cell,Casc4,H,Morphotypeneural_bias,0.5982920712698585,NA,NA,NA,NA,-0.027393906457892137,-0.027393906457892137,neuromesodermal.progenitors,9728,0.9490728026172985,0.38236977676016026,0.36079545454545453,0.37617299061607506,0.9222444333556903
GSE250136,mast,celltype_single_cell,Casd1,H,Morphotypeneural_bias,0.7470433479856848,NA,NA,NA,NA,-0.01864250199442863,-0.01864250199442863,neuromesodermal.progenitors,9728,0.9713011183260447,0.27819118488838007,0.2684659090909091,0.27539779681762544,0.9568805758024033
GSE250136,mast,celltype_single_cell,Cask,H,Morphotypeneural_bias,0.7527794726770476,NA,NA,NA,NA,-0.005981871383140325,-0.005981871383140325,neuromesodermal.progenitors,9728,0.9713011183260447,0.2701774470520893,0.2713068181818182,0.27050183598531213,0.9580579532190625
GSE250136,mast,celltype_single_cell,Caskin2,H,Morphotypeneural_bias,0.0028692735918711,NA,NA,NA,NA,0.017175917978439426,0.017175917978439426,neuromesodermal.progenitors,9728,0.23456983405002452,0.042358328563251287,0.05539772727272727,0.046103631170950635,0.1547451620352584
GSE250136,mast,celltype_single_cell,Casp2,H,Morphotypeneural_bias,0.14600049017031375,NA,NA,NA,NA,0.02251232986097279,0.02251232986097279,neuromesodermal.progenitors,9728,0.8158359332187389,0.24212936462507156,0.24431818181818182,0.2427580579355365,0.7245719545537996
GSE250136,mast,celltype_single_cell,Casp3,H,Morphotypeneural_bias,0.04235628569776017,NA,NA,NA,NA,-0.13206798237795825,-0.13206798237795825,neuromesodermal.progenitors,9728,0.6419215639489023,0.6714367487120778,0.6519886363636364,0.6658506731946144,0.5198453074133804
GSE250136,mast,celltype_single_cell,Casp6,H,Morphotypeneural_bias,0.6686986687729505,NA,NA,NA,NA,-0.01573120777967238,-0.01573120777967238,neuromesodermal.progenitors,9728,0.9635214079875326,0.2014882655981683,0.18607954545454544,0.19706242350061198,0.9393153014423277
GSE250136,mast,celltype_single_cell,Casp7,H,Morphotypeneural_bias,0.5730660670697265,NA,NA,NA,NA,-0.003772096471072073,-0.003772096471072073,neuromesodermal.progenitors,9728,0.9451023456065157,0.06754436176302232,0.061079545454545456,0.065687474500204,0.9145550598965082
GSE250136,mast,celltype_single_cell,Casp8ap2,H,Morphotypeneural_bias,0.04756696338246098,NA,NA,NA,NA,-0.15600012445553424,-0.15600012445553424,neuromesodermal.progenitors,9728,0.655052166433006,0.7240984544934173,0.6818181818181818,0.7119543043655651,0.542609854736426
GSE250136,mast,celltype_single_cell,Casp9,H,Morphotypeneural_bias,0.9254900450501693,NA,NA,NA,NA,-0.0022578203842057026,-0.0022578203842057026,neuromesodermal.progenitors,9728,0.9922038569630522,0.1001717229536348,0.09943181818181818,0.0999592003263974,0.9913795827822068
GSE250136,mast,celltype_single_cell,Cast,H,Morphotypeneural_bias,0.5427655869747874,NA,NA,NA,NA,-0.02331445296375248,-0.02331445296375248,neuromesodermal.progenitors,9728,0.9416787875535111,0.20606754436176303,0.1875,0.200734394124847,0.9062715306530728
GSE250136,mast,celltype_single_cell,Castor2,H,Morphotypeneural_bias,0.7811308857811368,NA,NA,NA,NA,-2.1688782862766542e-4,-2.1688782862766542e-4,neuromesodermal.progenitors,9728,0.9747219785429537,0.07212364052661706,0.06960227272727272,0.07139942880456956,0.9632838008067786
GSE250136,mast,celltype_single_cell,Cat,H,Morphotypeneural_bias,0.9128511132370819,NA,NA,NA,NA,-0.013192547084905248,-0.013192547084905248,neuromesodermal.progenitors,9728,0.9920608636290035,0.338294218660561,0.3309659090909091,0.3361893104855161,0.9893538535839957
