study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Atox1,H,Morphotypeneural_bias,0.005244133434715986,NA,NA,NA,NA,0.25408509254140377,0.25408509254140377,0.043906764247524044,0.9557328529146828,0.9506790564689064,0.9536171167801302
GSE250136,mast,sample_single_cell,Atp2b1,H,Morphotypeneural_bias,0.19309271670294154,NA,NA,NA,NA,0.34330923951251213,0.34330923951251213,0.2309540337035183,0.8589628104491056,0.8679413867047892,0.8627216278895788
GSE250136,mast,sample_single_cell,Atp5a1,H,Morphotypeneural_bias,0.14280595957823247,NA,NA,NA,NA,0.611885142661583,0.611885142661583,0.18478225678759172,0.8161111826019817,0.8229092208720514,0.8189571332385726
GSE250136,mast,sample_single_cell,Atp5b,H,Morphotypeneural_bias,0.25486215507556953,NA,NA,NA,NA,0.8242502125279305,0.8242502125279305,0.2863845795191268,0.8345129326984944,0.836132952108649,0.835191142365527
GSE250136,mast,sample_single_cell,Atp5c1,H,Morphotypeneural_bias,0.08244731784593147,NA,NA,NA,NA,0.4910135484968787,0.4910135484968787,0.1266367076266645,0.9500707759619097,0.9440671908506075,0.9475574175207601
GSE250136,mast,sample_single_cell,Atp5d,H,Morphotypeneural_bias,0.006977621633854651,NA,NA,NA,NA,0.4580249346027987,0.4580249346027987,0.0500746964311922,0.9981984300604813,0.9976769120800572,0.9979801002468767
GSE250136,mast,sample_single_cell,Atp5e,H,Morphotypeneural_bias,0.019011062675326616,NA,NA,NA,NA,0.6098646519254158,0.6098646519254158,0.067828541548252,0.9526444473040793,0.9417441029306648,0.9480810952345328
GSE250136,mast,sample_single_cell,Atp5f1,H,Morphotypeneural_bias,0.04391805330577085,NA,NA,NA,NA,0.5316861081435738,0.5316861081435738,0.09059424522494759,0.9693733110281817,0.9637240886347391,0.9670083040323184
GSE250136,mast,sample_single_cell,Atp5g1,H,Morphotypeneural_bias,0.056892647394795236,NA,NA,NA,NA,0.6521384911246111,0.6521384911246111,0.10305070860127545,0.8172693347059581,0.8282701929949964,0.8218747662153063
GSE250136,mast,sample_single_cell,Atp5g2,H,Morphotypeneural_bias,0.0705923563544777,NA,NA,NA,NA,1.1334482090857598,1.1334482090857598,0.11670886298320018,0.8204864238836701,0.8150464617583989,0.8182090222188972
GSE250136,mast,sample_single_cell,Atp5g3,H,Morphotypeneural_bias,0.01649966950983332,NA,NA,NA,NA,0.4326146717620247,0.4326146717620247,0.06553822214603561,0.9159696306781624,0.9254824874910651,0.9199521208947408
GSE250136,mast,sample_single_cell,Atp5h,H,Morphotypeneural_bias,0.07167456030508942,NA,NA,NA,NA,0.6182676520453025,0.6182676520453025,0.11748574760181645,0.9924076695405997,0.9916011436740529,0.9920700231914417
GSE250136,mast,sample_single_cell,Atp5j,H,Morphotypeneural_bias,0.03864651176604563,NA,NA,NA,NA,0.33834848656187777,0.33834848656187777,0.0859482318963619,0.9191867198558744,0.9185132237312366,0.9189047654671954
GSE250136,mast,sample_single_cell,Atp5j2,H,Morphotypeneural_bias,0.04195710650282606,NA,NA,NA,NA,0.6632430116945098,0.6632430116945098,0.0884725159343542,0.999742632865783,1,0.9998503777960649
GSE250136,mast,sample_single_cell,Atp5k,H,Morphotypeneural_bias,0.5826154117314251,NA,NA,NA,NA,0.13132443774726887,0.13132443774726887,0.6009100985732331,0.8903616008235749,0.8942101501072195,0.8919727687588839
GSE250136,mast,sample_single_cell,Atp5l,H,Morphotypeneural_bias,0.28747275808291195,NA,NA,NA,NA,0.18785223571916276,0.18785223571916276,0.3159610494244618,0.9203448719598507,0.9163688348820586,0.9186803321612927
GSE250136,mast,sample_single_cell,Atp5md,H,Morphotypeneural_bias,0.23168192722313247,NA,NA,NA,NA,0.270585912907495,0.270585912907495,0.2677352717842424,0.791532621284262,0.8268406004288777,0.8063140570060597
GSE250136,mast,sample_single_cell,Atp5mpl,H,Morphotypeneural_bias,0.05056624269341026,NA,NA,NA,NA,0.36676722858496547,0.36676722858496547,0.09679674384017849,0.9633251833740831,0.961758398856326,0.9626692601182015
GSE250136,mast,sample_single_cell,Atp5o,H,Morphotypeneural_bias,0.33612271978789104,NA,NA,NA,NA,0.30386167703474953,0.30386167703474953,0.3619783136177288,0.8521425813923562,0.843638313080772,0.8485823296177153
GSE250136,mast,sample_single_cell,Atp6v0c,H,Morphotypeneural_bias,0.32889284482006026,NA,NA,NA,NA,0.1320429338579312,0.1320429338579312,0.35643970745727344,0.928966670956119,0.9390636168691923,0.9331936859429939
GSE250136,mast,sample_single_cell,Atp6v1g1,H,Morphotypeneural_bias,0.0014034664035607032,NA,NA,NA,NA,0.6571446457089953,0.6571446457089953,0.024967478769953016,0.8544588856003088,0.8609721229449607,0.8571856063439814
GSE250136,mast,sample_single_cell,Atpif1,H,Morphotypeneural_bias,0.3864492091595942,NA,NA,NA,NA,0.40041169315333036,0.40041169315333036,0.4115057663619619,0.999742632865783,0.9998213009292352,0.9997755666940974
GSE250136,mast,sample_single_cell,Atrx,H,Morphotypeneural_bias,0.9836589858242232,NA,NA,NA,NA,-0.010709833670675906,-0.010709833670675906,0.9848121616575458,0.8553596705700682,0.852037169406719,0.8539687289593776
GSE250136,mast,sample_single_cell,Atxn7l3b,H,Morphotypeneural_bias,0.2613555932021946,NA,NA,NA,NA,0.1447340660476888,0.1447340660476888,0.29214355575219136,0.9996139492986745,0.998927805575411,0.9993267000822922
GSE250136,mast,sample_single_cell,Aurkaip1,H,Morphotypeneural_bias,0.01614747581324788,NA,NA,NA,NA,0.19581281297697117,0.19581281297697117,0.06522778749324788,0.9729764509072192,0.9669406719085061,0.9704496147228249
GSE250136,mast,sample_single_cell,Auts2,H,Morphotypeneural_bias,0.780658908110199,NA,NA,NA,NA,-0.06751557999204527,-0.06751557999204527,0.7917846882732897,1,1,1
GSE250136,mast,sample_single_cell,Banf1,H,Morphotypeneural_bias,0.10183983467138613,NA,NA,NA,NA,0.3470705375572489,0.3470705375572489,0.1454368207514444,0.9377171535194956,0.9335239456754825,0.9359616967157927
GSE250136,mast,sample_single_cell,Bax,H,Morphotypeneural_bias,0.21828674554153582,NA,NA,NA,NA,0.17898010464197345,0.17898010464197345,0.25466786979845846,0.8771071934114013,0.8775911365260901,0.8773097927732475
GSE250136,mast,sample_single_cell,Bcas2,H,Morphotypeneural_bias,0.023785122541838236,NA,NA,NA,NA,0.371371853973792,0.371371853973792,0.0700255269300938,0.9996139492986745,0.9998213009292352,0.9997007555921299
GSE250136,mast,sample_single_cell,Bclaf1,H,Morphotypeneural_bias,0.09215453288336509,NA,NA,NA,NA,0.33397052438500374,0.33397052438500374,0.1354560603827776,0.9267790503152747,0.9249463902787706,0.9260118201541109
GSE250136,mast,sample_single_cell,Bex1,H,Morphotypeneural_bias,4.0397409089141393e-5,NA,NA,NA,NA,0.5965814481035472,0.5965814481035472,0.00492848390887525,0.924720113241539,0.9251250893495354,0.9248896536245979
GSE250136,mast,sample_single_cell,Bex2,H,Morphotypeneural_bias,0.003953135188761896,NA,NA,NA,NA,0.30524182324701465,0.30524182324701465,0.042589761678324164,0.9881611118260198,0.9880271622587563,0.9881050347871624
GSE250136,mast,sample_single_cell,Bex3,H,Morphotypeneural_bias,0.12718302997196526,NA,NA,NA,NA,0.45559893209895463,0.45559893209895463,0.16944509765375715,0.8116072577531849,0.813795568263045,0.8125233784693648
GSE250136,mast,sample_single_cell,Bex4,H,Morphotypeneural_bias,0.021038214574765023,NA,NA,NA,NA,0.28497614105614044,0.28497614105614044,0.06877299402491575,0.8423626302921117,0.8640100071479628,0.8514251514924814
GSE250136,mast,sample_single_cell,Birc5,H,Morphotypeneural_bias,6.578410653120545e-4,NA,NA,NA,NA,0.354078931379767,0.354078931379767,0.01655474020000247,0.8655256723716381,0.8802716225875625,0.8716989601256826
GSE250136,mast,sample_single_cell,Blmh,H,Morphotypeneural_bias,0.06644001466858773,NA,NA,NA,NA,0.19351192933527406,0.19351192933527406,0.11325303897599585,0.837086604040664,0.843638313080772,0.839829430687514
