study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,n_selected_genes,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Terf1,338.0540735003444,0.017995900505967753,0.057117500834274845,0.14336616796356338,0.7049572558435303,0.8713205897477228,12491,0.8713205897477228
GSE250136,pseudobulk_deseq2,sample_barcode,Sbspon,24.890774888854235,0.1703158799757744,0.15272242041952602,1.3015553901792032,0.2539293090621365,0.7143596259637796,12491,0.7143596259637796
GSE250136,pseudobulk_deseq2,sample_barcode,Rpl7,20545.94998261884,-0.010475845728067333,0.023903110220606927,0.19207243450904343,0.6611973167419648,0.8692221098661965,12491,0.8692221098661965
GSE250136,pseudobulk_deseq2,sample_barcode,Rdh10,52.93702642418855,-0.09694431538344424,0.09548796633992815,1.0473551462659145,0.30611700770016514,0.7549460367719474,12491,0.7549460367719474
GSE250136,pseudobulk_deseq2,sample_barcode,Stau2,161.32781348716944,-0.05100877989671139,0.05461927468940666,1.108783874368612,0.29234646008563464,0.7467090565377458,12491,0.7467090565377458
GSE250136,pseudobulk_deseq2,sample_barcode,Ube2w,152.97844606145816,-0.08060073413655741,0.06201482109194786,1.8883654554684028,0.16938639731280997,0.6357079634726551,12491,0.6357079634726551
GSE250136,pseudobulk_deseq2,sample_barcode,Eloc,1358.0501715129355,-0.03315260973033474,0.026752344697455303,1.5471740078841663,0.21355311919965658,0.686773755944583,12491,0.686773755944583
GSE250136,pseudobulk_deseq2,sample_barcode,Tmem70,160.7574387743674,-0.05915962897336567,0.06044788804624472,1.0062774189145216,0.3157963088984364,0.7593447489254769,12491,0.7593447489254769
GSE250136,pseudobulk_deseq2,sample_barcode,Ly96,6.32740963068746,-0.04995583179361343,0.3065337615042069,0.02678235257961603,0.8700042032863129,0.9109189788788706,12491,0.9109189788788706
GSE250136,pseudobulk_deseq2,sample_barcode,Jph1,33.830805800442604,-0.004681167238316366,0.12983092651956543,0.13731495741348,0.7109650344568155,0.8723681696370322,12491,0.8723681696370322
GSE250136,pseudobulk_deseq2,sample_barcode,Gdap1,12.301497864825764,0.37817040742556746,0.27934381389762997,1.9141754973447291,0.16650017440428938,0.633990855385886,12491,0.633990855385886
GSE250136,pseudobulk_deseq2,sample_barcode,Il17f,8.736817316160808,0.22783768561674492,0.2843187461061074,0.7116664785758644,0.3988911359246802,0.8036794262825111,12491,0.8036794262825111
GSE250136,pseudobulk_deseq2,sample_barcode,Mcm3,1534.8869490999737,0.06553279413887005,0.027932954807387774,5.536523919025569,0.018623539556068314,0.2704744291340619,12491,0.2704744291340619
GSE250136,pseudobulk_deseq2,sample_barcode,Paqr8,16.68509125872744,0.23456375743603666,0.17115937432096556,1.9678754387227286,0.16067355284053778,0.6269366765102158,12491,0.6269366765102158
