study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,n_selected_genes,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Dpysl3,H,Morphotypeneural_bias,0.6640120969582208,NA,NA,NA,NA,-0.004722503861894989,-0.004722503861894989,11573,0.8275822959113855,0.23034358512417963,0.23409578270192996,0.23191441609934915
GSE250136,mast,sample_single_cell,Dpysl4,H,Morphotypeneural_bias,1.86441698987373e-5,NA,NA,NA,NA,0.042035571421994516,0.042035571421994516,11573,2.9923763393646056e-4,0.18710590657573029,0.2253395282344532,0.20311214184184934
GSE250136,mast,sample_single_cell,Dpysl5,H,Morphotypeneural_bias,3.474573571332178e-28,NA,NA,NA,NA,0.17050585741663915,0.17050585741663915,11573,7.445882475454809e-26,0.328786513962167,0.4163688348820586,0.36545223311139374
GSE250136,mast,sample_single_cell,Dqx1,H,Morphotypeneural_bias,0.8752952363663944,NA,NA,NA,NA,-0.0025038150188912423,-0.0025038150188912423,11573,0.9415767833180311,0.05584866812508043,0.05629020729092209,0.05603351537368145
GSE250136,mast,sample_single_cell,Dr1,H,Morphotypeneural_bias,0.004545152641531265,NA,NA,NA,NA,0.03587469861727188,0.03587469861727188,11573,0.03246697923938259,0.2789859734911852,0.3114724803431022,0.2925862197950176
GSE250136,mast,sample_single_cell,Dram2,H,Morphotypeneural_bias,0.9124314429172047,NA,NA,NA,NA,-5.281358562578276e-4,-5.281358562578276e-4,11573,0.9585633353138003,0.12289280658859864,0.1290207290922087,0.12545821799955115
GSE250136,mast,sample_single_cell,Drap1,H,Morphotypeneural_bias,0.3019716746169063,NA,NA,NA,NA,-0.02859987178786927,-0.02859987178786927,11573,0.5633429338492407,0.7890876335092009,0.7812723373838456,0.785815815066956
GSE250136,mast,sample_single_cell,Draxin,H,Morphotypeneural_bias,0.22974406828145907,NA,NA,NA,NA,-0.006333591653408223,-0.006333591653408223,11573,0.48701197255047524,0.050830009007849696,0.048248749106504646,0.049749382808408765
GSE250136,mast,sample_single_cell,Drg1,H,Morphotypeneural_bias,0.47102100988428064,NA,NA,NA,NA,0.01042325977313907,0.01042325977313907,11573,0.7032880486644655,0.602367777634796,0.6066833452466047,0.6041744594897883
GSE250136,mast,sample_single_cell,Drg2,H,Morphotypeneural_bias,5.563241082070754e-4,NA,NA,NA,NA,0.03955196248829007,0.03955196248829007,11573,0.005717391279016232,0.4007206279758075,0.4185132237312366,0.4081693723348545
